T Icy Ivy
N 0 3387
N 1 3871
N 2 4839
N 2 5806
N 0 6290
N 3 6774
N 0 7258
N 3 7742
N 2 8710
N 1 9194
N 1 10161
N 0 10645
N 3 11613
N 1 12097
N 2 13065
N 0 13548
N 3 14032
N 1 15000
N 3 15968
N 1 16935
N 2 17903
N 3 18387
N 1 19355
N 3 19839
N 3 20323
N 2 20806
N 0 21290
N 1 22258
N 3 22742
N 3 23710
N 2 24194
N 0 24677
N 2 25645
N 0 26129
N 2 26613
N 1 27097
N 3 27581
N 3 28065
N 1 28548
N 0 29032
N 3 29516
N 2 30000
N 3 30968
N 0 31452
N 0 31935
N 0 32419
N 3 32903
N 2 33387
N 2 33871
N 2 34355
N 0 35323
N 0 36290
N 3 36774
N 1 37258
N 3 37742
N 3 38710
N 3 39194
N 0 39677
N 2 40161
N 1 40645
N 2 41613
N 0 42097
N 3 42581
N 3 43548
N 1 44032
N 0 44516
N 1 45000
N 2 45968
N 0 46935
N 0 47419
N 3 47903
N 3 48387
N 2 48871
N 1 49355
N 2 49839
N 2 50323
N 0 50806
N 2 51290
N 3 52258
N 2 52742
N 3 53226
N 1 53710
N 1 54677
N 1 55161
N 2 55645
N 0 56129
N 1 56613
N 0 57097
N 0 57581
N 2 58065
N 2 58548
N 0 59516
N 0 60000
N 3 60968
N 1 61451
N 2 61936
N 2 62420
N 0 62904
N 2 63388
N 3 63872
N 2 64356
N 3 64840
N 1 65324
N 1 65808
N 1 66292
N 2 66776
N 0 67260
N 1 67744
N 0 68228
N 0 68712
N 2 69196
N 2 69680
N 0 70164
N 0 70648
N 3 71132
N 2 71616
N 2 72100
N 0 72584
N 0 73068
N 3 73552
N 1 74036
N 2 74520
N 2 75004
N 0 75488
N 2 75972
N 3 76456
N 2 76940
N 3 77424
N 1 77908
N 1 78392
N 1 78876
N 2 79360
N 0 79844
N 1 80328
N 0 80812
N 0 81296
N 2 81780
N 2 82264
N 0 82748
N 0 83232
N 3 83716
N 2 84200
N 1 84684
N 1 85168
N 2 85652
N 0 86136
N 1 86620
N 0 87104
N 0 87588
N 2 88072
N 2 88556
N 0 89040
N 0 89524
N 3 90008
N 1 90492
N 2 90976
N 1 91460
N 2 91944
N 0 92428
N 1 92912
N 3 93396
N 0 93880
N 2 94363
N 2 94848
N 0 95332
N 0 95816
N 3 96300
N 2 96784
N 1 97268
N 1 97752
N 2 98236
N 0 98720
N 1 99204
N 0 99688
N 0 100172
N 2 100656
N 2 101140
N 0 101624
N 0 102108
N 0 102592
N 3 103076
N 3 103560
N 1 104044
N 1 104528
N 1 105012
N 2 105496
N 0 105980
N 1 106464
N 2 106948
N 0 107432
N 2 107916
N 2 108400
N 0 108884
N 0 109368
N 3 109852
N 1 110336
N 3 110820
N 1 111304
N 2 111788
N 0 112272
N 1 112756
N 0 113240
N 0 113724
N 2 114208
N 2 114692
N 0 115176
N 0 115660
N 3 116144
N 1 116628
N 1 117112
N 1 117596
N 2 118080
N 0 118564
N 1 119048
N 0 119532
N 0 120016
N 2 120500
N 2 120984
N 0 121468
N 0 121952
