T Q-vism
N 0 4154
N 3 4615
N 3 5538
N 3 6000
N 2 6462
N 2 6923
N 0 7846
N 2 8769
N 3 9692
N 1 10154
N 3 10615
N 2 11077
N 2 11538
N 0 12000
N 0 12462
N 3 12923
N 0 13385
N 0 13846
N 2 14308
N 2 15231
N 3 15692
N 2 16154
N 2 17077
N 2 17538
N 0 18462
N 1 18923
N 3 19846
N 2 20308
N 1 21231
N 2 21692
N 3 22154
N 3 22615
N 1 23077
N 3 23538
N 1 24000
N 0 24923
N 1 25385
N 1 26308
N 3 26769
N 3 27231
N 3 27692
N 1 28154
N 3 28615
N 1 29538
N 0 30000
N 0 30462
N 2 31385
N 0 32308
N 2 32769
N 1 33231
N 3 34154
N 0 34615
N 2 35077
N 1 35538
N 1 36462
N 3 37385
N 2 38308
N 3 39231
N 3 40154
N 3 40615
N 0 41077
N 2 41538
N 1 42000
N 1 42462
N 3 42923
N 3 43385
N 0 43846
N 3 44308
N 2 44769
N 3 45231
N 0 46154
N 3 46615
N 0 47077
N 2 48000
N 3 48462
N 3 48923
N 2 49385
N 3 49846
N 0 50769
N 0 51231
N 1 51692
N 3 52154
N 3 52615
N 1 53077
N 0 53538
N 3 54462
N 2 54923
N 3 55385
N 3 55846
N 2 56769
N 2 57231
N 1 57692
N 2 58154
N 0 59077
N 0 59538
N 3 60000
N 3 60462
N 3 60923
N 2 61385
N 2 61846
N 0 62308
N 2 62769
N 3 63231
N 1 63693
N 3 64155
N 2 64617
N 2 65079
N 0 65540
N 0 66002
N 3 66464
N 0 66926
N 0 67387
N 2 67849
N 2 68311
N 3 68773
N 2 69234
N 2 69696
N 2 70158
N 0 70620
N 1 71082
N 3 71543
N 2 72005
N 1 72467
N 2 72928
N 3 73390
N 3 73851
N 1 74312
N 3 74774
N 1 75236
N 0 75698
N 1 76159
N 1 76621
N 3 77083
N 3 77544
N 3 78006
N 1 78467
N 3 78929
N 1 79391
N 0 79852
N 0 80314
N 2 80776
N 0 81237
N 2 81699
N 1 82161
N 3 82623
N 0 83084
N 2 83546
N 1 84008
N 1 84470
N 3 84931
N 2 85392
N 3 85854
N 3 86316
N 3 86777
N 0 87238
N 2 87699
N 1 88161
N 1 88623
N 3 89085
